time,bcc-csm1-1-m,ACCESS1-0,ACCESS1-3,IPSL-CM5B-LR,GFDL-ESM2M,FIO-ESM,CMCC-CMS,MPI-ESM-LR,FGOALS-g2,HadCM3,MIROC-ESM,MIROC5,CanESM2,MPI-ESM-MR,CSIRO-Mk3-6-0,CESM1-BGC,inmcm4,GISS-E2-R-CC,BNU-ESM,MIROC4h,GFDL-CM2p1,GFDL-ESM2G,CMCC-CM,EC-EARTH,CanCM4,CCSM4,NorESM1-M,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,CSIRO-Mk3L-1-2,NorESM1-ME,HadGEM2-AO,GISS-E2-R,HadGEM2-CC,GISS-E2-H-CC,MRI-CGCM3,HadGEM2-ES,bcc-csm1-1,CESM1-CAM5
2018-12-01,5.0988872209e-05,3.73255865963e-05,5.31927824427e-05,3.26839848981e-05,6.67011287684e-05,2.38444620967e-05,4.76884481031e-05,6.77360891132e-05,5.84977943314e-05,6.94269441131e-05,0.000118595365469,4.02805440899e-05,1.43692613771e-05,6.66789822779e-05,1.86279663987e-05,6.06851325012e-05,0.000127298099272,6.58985807907e-05,5.54026696288e-05,8.46493804059e-05,5.40610991367e-05,5.73727779738e-05,4.02435915829e-05,,4.82991098882e-05,4.883295977e-05,4.78309884784e-05,2.78665475889e-05,5.76942242852e-05,2.9347145869e-05,3.96231139348e-05,2.38328377054e-05,4.41370146026e-05,7.93384606368e-05,2.97538517771e-05,5.79086693506e-05,7.6819824807e-05,5.1998261218e-05,0.000109454697763,5.00014909524e-05,5.07954448819e-05,3.2395126092e-05,4.19317771351e-05,2.6968155145e-05
2019-01-01,3.08066677289e-05,3.85228683756e-05,6.38063907207e-05,5.19904294833e-05,4.59469043158e-05,5.36477411515e-05,5.46278847781e-05,4.41367359599e-05,4.4479507657e-05,4.94164495043e-05,0.000111077169034,2.72861927715e-05,4.82870880357e-05,4.66909982996e-05,5.06832406245e-05,4.89014883447e-05,6.83334503265e-05,3.41254197262e-05,9.88012725429e-05,3.52000831485e-05,5.69033797749e-05,3.77564471768e-05,1.63860277466e-05,,7.73414712967e-05,5.06013746858e-05,3.84241211577e-05,6.33617431504e-05,4.28846991521e-05,6.53920317859e-05,7.44149328966e-05,2.64230430639e-05,4.53971937683e-05,7.20405438187e-05,5.15327992616e-05,2.04841758659e-05,2.60110917528e-05,3.9352693193e-05,5.29813796025e-05,4.80904569334e-05,3.02008428976e-05,1.81015782183e-05,2.30041676938e-05,2.81955928466e-05
2019-02-01,6.31851911792e-05,1.78690380337e-05,5.26383588034e-05,5.20014203857e-05,2.99050934195e-05,5.49896398297e-05,6.09517521558e-05,7.13582138165e-05,4.89272331227e-05,3.17638832712e-05,6.20703664026e-05,5.68030429167e-05,3.46985639529e-05,7.30587784866e-05,3.71574849721e-05,5.33336266991e-05,7.87480509773e-05,4.90495921971e-05,5.84811935065e-05,5.58387835127e-05,5.01220694484e-05,5.09344068228e-05,2.47430888879e-05,,4.48901539736e-05,5.15089587689e-05,1.03633119579e-05,2.78210804026e-05,3.21113785893e-05,3.12859802989e-05,5.2392762124e-05,6.18933516853e-05,4.5026479313e-05,6.81376922633e-05,3.01409818348e-05,4.62938946839e-05,9.67684006322e-06,5.7832020957e-05,5.98301009761e-05,3.93114726573e-05,5.41024157558e-05,5.58367367679e-05,2.55368713018e-05,5.77368409355e-05
2019-03-01,5.8780865705e-05,2.43325502673e-05,6.00380233967e-05,3.62637667308e-05,3.13564295437e-05,2.54706987107e-05,1.99409343103e-05,2.82827789696e-05,6.03186757265e-05,1.91975479235e-05,4.7580678923e-05,3.3186277542e-05,5.66739196681e-05,3.44900638863e-05,4.34273363291e-05,3.75930426757e-05,3.25059233936e-05,4.22686981286e-05,3.48881798952e-05,2.91022471112e-05,3.84517173491e-05,1.3831201007e-05,1.59972220321e-05,,2.04169595842e-05,3.35576386707e-05,2.81253705907e-05,4.30666003922e-05,1.78649158572e-05,1.72545482542e-05,4.70594250525e-05,3.53016133158e-05,2.81119067154e-05,5.28707220534e-05,1.9894738216e-05,7.0607161706e-05,2.57944928178e-05,3.19871359125e-05,2.20854059578e-05,1.70123436002e-05,3.5725780457e-05,3.7947783572e-05,3.05625144392e-05,4.63996258729e-05
2019-04-01,4.86731417888e-05,3.0257991728e-05,3.68064850028e-05,3.46549509231e-05,3.71591130109e-05,4.0251089437e-05,4.25262709281e-05,2.88884920467e-05,4.66343675119e-05,3.03981003829e-05,3.5183435466e-05,3.45546654535e-05,3.0028978775e-05,4.11913466191e-05,3.99116524412e-05,1.76700434599e-05,4.3577728502e-05,2.51213288038e-05,2.6678892876e-05,2.63756442081e-05,4.35870873237e-05,2.23837723247e-05,3.48280567906e-05,,3.15537672577e-05,3.01658809335e-05,3.56084128725e-05,1.45350910316e-05,1.72808392043e-05,3.51918621959e-05,3.80018651261e-05,2.63092769819e-05,2.03115030217e-05,3.16774102733e-05,2.73686800938e-05,2.84905702301e-05,2.625266499e-05,2.97557575095e-05,2.1962507617e-05,3.43791628742e-05,5.88839944136e-05,3.17741051471e-05,2.1977115163e-05,3.61997653079e-05
2019-05-01,3.43651356074e-05,3.35029777229e-05,3.43457216418e-05,2.47751632969e-05,3.03796318298e-05,1.99275691557e-05,3.15035327471e-05,2.60316804218e-05,3.13592668438e-05,3.61911249911e-05,3.4668769149e-05,2.81666286901e-05,8.58777783985e-06,2.07153834968e-05,2.75461431296e-05,2.24000622567e-05,4.699376867e-05,2.35903719007e-05,1.49972034706e-05,2.8756854398e-05,3.28808629193e-05,2.15162717723e-05,2.96126021604e-05,,2.13774879285e-05,1.26123246891e-05,2.43718786805e-05,2.23663151473e-05,2.21141414711e-05,3.46754143266e-05,4.88897511938e-05,3.95561503137e-05,2.70327665438e-05,5.55430963383e-05,2.61084696831e-05,1.87946136066e-05,3.64130723721e-05,2.57619072765e-05,2.26678825443e-05,3.52797697284e-05,4.67431475716e-05,2.32588379168e-05,2.25766527365e-05,1.3617243339e-05
2019-06-01,2.48135752047e-05,4.68433676404e-05,2.14976512217e-05,3.54400827405e-05,4.27323939599e-05,2.51053610555e-05,8.72767413966e-06,2.67263859444e-05,2.1289887809e-05,1.84108313306e-05,5.05728069281e-05,1.49057458202e-05,5.67127306491e-06,3.34351473222e-05,3.26624281895e-05,1.10155301392e-05,4.83006256088e-05,4.72992746078e-05,3.08832338912e-05,3.58132725278e-05,3.8552180336e-05,2.97066909398e-05,1.1754157539e-05,,1.61998180071e-05,3.02314016116e-05,2.54952028627e-05,1.13223346375e-05,2.27729240968e-05,1.34791946147e-05,4.99516580703e-05,2.8402883745e-05,2.8464295743e-05,4.39313749363e-05,1.95202137547e-05,3.56162422719e-06,2.08777218761e-05,3.82327223463e-05,3.33342076904e-06,4.33345746842e-05,3.52970153883e-05,2.37087274264e-05,2.02105552489e-05,2.6130390592e-05
2019-07-01,5.71280965492e-06,1.48620219028e-05,1.75677096898e-05,2.83086745014e-05,2.74570952064e-05,1.87562624963e-05,1.47538292887e-05,1.56635065131e-05,2.08501186232e-05,1.72436327569e-05,2.63723428967e-05,6.13960835835e-06,4.97036130394e-06,2.37099618451e-05,3.36647411986e-06,8.88810009769e-06,1.70408840469e-05,6.23759020376e-05,1.83532863957e-05,2.31787558953e-05,1.27905135625e-05,1.89340981302e-05,2.06029708168e-05,,5.16411966297e-06,9.07501545763e-06,7.96626136434e-06,7.14448209533e-06,3.14776979264e-05,1.48212094793e-05,2.62059162045e-05,3.22687929247e-05,3.69116060407e-05,3.66199576092e-05,4.23230585511e-06,8.4265498975e-06,8.62703176841e-06,3.09413422694e-05,2.5549034211e-06,4.06657788972e-05,2.99722095016e-05,3.2843859714e-06,1.25850870063e-05,1.15579230961e-05
2019-08-01,6.98329829163e-06,6.18913608829e-07,6.4871760748e-06,2.92758050477e-05,1.64824343124e-05,1.10401895123e-05,1.937521738e-05,1.01556818533e-05,1.78292337599e-05,4.55402674978e-06,4.0877731711e-05,1.66150420819e-05,5.92326124244e-06,7.92684149928e-06,1.55056467993e-06,1.51276372078e-06,7.07910393365e-06,3.67443654833e-05,8.1509494521e-06,1.55973683378e-05,5.11988384686e-06,2.25457878413e-05,6.13729200194e-06,,7.67001735464e-06,2.32560503217e-06,9.83145400824e-06,2.09873636505e-06,9.46555958957e-06,4.24728418555e-06,1.9320464394e-05,8.97676236832e-06,2.37436505396e-05,3.44728683558e-05,1.13572650662e-06,2.53924497875e-06,1.02104987908e-05,3.20990461091e-05,3.50724853418e-06,2.82882264931e-05,2.2423554139e-05,3.86531902274e-06,9.13173255791e-06,3.24648136709e-06
2019-09-01,1.29471302931e-05,1.67256916939e-05,1.77558095312e-05,3.20370116924e-05,9.77800204459e-06,2.32520859451e-05,1.18691690399e-05,5.39096903854e-06,3.76867454785e-05,5.37547854644e-06,1.77876249078e-05,3.63055144044e-05,4.55810289661e-06,1.87174533494e-05,3.50212042548e-06,5.71541223241e-06,1.35593268819e-05,4.30453029215e-05,3.50814962682e-05,2.00686795402e-05,5.77967207328e-06,1.37238398678e-06,1.7207110597e-05,,6.70482269622e-06,8.30558026377e-06,1.18116322483e-05,1.22331014609e-05,2.50616842095e-05,1.13812134774e-05,1.76645911552e-05,2.44037901166e-05,2.61578061706e-05,2.47156915066e-05,3.12691781801e-06,5.02510179672e-06,1.21172696427e-05,1.21502292056e-05,1.71512117233e-05,4.36024040861e-05,2.61866583904e-05,7.81260613096e-06,2.0773531772e-05,8.16145386051e-06
