time,MIROC4h,ACCESS1-0,ACCESS1-3,IPSL-CM5B-LR,MIROC5,GFDL-ESM2M,FIO-ESM,CMCC-CMS,HadCM3,MIROC-ESM,HadGEM2-ES,CanESM2,MPI-ESM-P,MRI-ESM1,MPI-ESM-MR,CSIRO-Mk3-6-0,CESM1-BGC,inmcm4,CESM1-FASTCHEM,GISS-E2-R-CC,BNU-ESM,CNRM-CM5-2,FGOALS-g2,GFDL-CM2p1,GFDL-ESM2G,CMCC-CM,EC-EARTH,CanCM4,CCSM4,NorESM1-M,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,MRI-CGCM3,NorESM1-ME,HadGEM2-AO,GISS-E2-R,HadGEM2-CC,GISS-E2-H-CC,CMCC-CESM,bcc-csm1-1-m,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5
1900-02-01,,5.31384681121e-05,3.81160138247e-05,3.9915817581e-05,3.96205833749e-05,3.23630509027e-05,6.98069662273e-05,2.13247740508e-05,3.62043480588e-05,5.67344822533e-05,3.13191296213e-05,3.14101810242e-05,7.67184230166e-05,3.03324316335e-05,3.99132674959e-05,3.67181473848e-05,6.38770244048e-05,4.73575703186e-05,3.17270681544e-05,1.71877151824e-05,4.73111932782e-05,3.07703742692e-05,3.49503191804e-05,2.21586928749e-05,4.14826196094e-05,2.66816415307e-05,2.92397954646e-05,,6.51311482197e-05,2.63224555965e-05,3.07720260025e-05,1.61318137089e-05,3.95082789737e-05,2.59940250089e-05,3.48211543542e-05,2.10160346038e-05,5.29471889119e-05,3.45844046132e-05,9.07129547159e-05,5.92238506042e-05,5.0219429833e-05,2.3433902286e-05,3.84271311873e-05,3.93986665586e-05,5.11203575332e-05,9.74782867291e-06,3.35175234795e-05,3.99810973102e-05
1900-03-01,,2.84687397587e-05,4.28174336689e-05,5.07125032527e-05,3.7571769426e-05,3.70798196248e-05,5.81361764489e-05,4.76667116995e-05,2.75275450197e-05,6.18962966352e-05,4.5017487212e-05,2.14870852384e-05,3.45466795677e-05,2.89254652823e-05,2.87665278717e-05,1.97907855181e-05,3.76399781604e-05,5.53299995123e-05,3.06955984839e-05,2.51968538597e-05,9.04655879519e-05,2.91627302113e-05,2.63772572604e-05,3.80871617583e-05,3.86498651703e-05,1.83747715618e-05,4.08629066009e-05,,4.55899972998e-05,3.33359275828e-05,2.35567925301e-05,3.67543930094e-05,2.10357120523e-05,3.14557342638e-05,3.6849379303e-05,3.81500160908e-05,4.22955706502e-05,3.55433257612e-05,5.85078368204e-05,4.21973655388e-05,2.87801316479e-05,3.65386436421e-05,3.23962197513e-05,2.78422376141e-05,3.61044843495e-05,4.36868639164e-05,3.51128866896e-05,3.58608473162e-05
1900-04-01,,2.67756119164e-05,4.15810104858e-05,2.82295492298e-05,3.01856698388e-05,3.9906609244e-05,2.88035600533e-05,3.30149387342e-05,2.90108626662e-05,3.18325683717e-05,3.67554201234e-05,2.67148056082e-05,2.85455803221e-05,3.79314793961e-05,2.153093436e-05,3.42712588203e-05,4.10710169738e-05,4.16706795867e-05,5.53967868774e-05,3.10662775102e-05,4.6730787047e-05,2.58568871232e-05,3.51589652079e-05,2.01103709717e-05,2.74196184667e-05,3.23612932904e-05,3.89121761427e-05,,3.59263847878e-05,3.51397247869e-05,2.52922583059e-05,3.49807078237e-05,3.28289538629e-05,3.3436561201e-05,2.57122649873e-05,3.179412073e-05,3.86705645724e-05,5.18896227688e-05,3.78049560368e-05,3.11278569089e-05,2.92014151076e-05,2.68844970335e-05,2.35106925288e-05,1.40127631312e-05,3.14952175835e-05,3.43192917561e-05,4.94426089669e-05,2.94623568235e-05
1900-05-01,,4.69821694597e-05,3.94442583586e-05,4.04424318958e-05,3.59489213588e-05,2.61200431042e-05,4.07039075678e-05,3.1548419169e-05,3.70957737535e-05,4.11997134506e-05,3.30439215759e-05,2.60676862733e-05,1.79713263476e-05,4.15972531408e-05,2.38346235294e-05,4.83349981161e-05,1.78951170738e-05,6.73378089102e-05,1.22858956651e-05,2.5664690772e-05,2.11128474499e-05,3.13949204246e-05,2.41512589128e-05,3.45259370281e-05,1.50198883249e-05,3.34082246579e-05,2.87686444456e-05,,2.79866161498e-05,4.25602884206e-05,1.97495823159e-05,2.14999432761e-05,2.7025921213e-05,4.57400875196e-05,3.03037583944e-05,2.36090045812e-05,3.93449327627e-05,4.95743826096e-05,1.9505146247e-05,2.48830888484e-05,4.88555280829e-05,4.52861629258e-05,4.45853345544e-05,2.2489710318e-05,3.51736435797e-05,3.39757730087e-05,1.55606097299e-05,3.07268681152e-05
1900-06-01,,3.92877706569e-05,4.17469493533e-05,3.88610225457e-05,2.05512517823e-05,3.80397597029e-05,2.9251703927e-05,2.21368233075e-05,1.39128997413e-05,3.80359635225e-05,1.1308332795e-05,6.14962734969e-06,1.5911409199e-05,2.31695131073e-05,2.95883792985e-05,1.87533481705e-05,2.1929581867e-05,4.35877372573e-05,2.13957651896e-05,4.5665316217e-05,2.51436897088e-05,2.83382700763e-05,2.15726601406e-05,3.84904111949e-05,3.21681177916e-05,2.665103753e-05,2.7099698335e-05,,2.92558227768e-05,3.11567491735e-05,8.68100304601e-06,7.34344187338e-06,1.0188537118e-05,4.0152859242e-05,3.17203663053e-05,2.52884424488e-05,3.85638747806e-05,3.32570882565e-05,8.79483527001e-06,1.79681224887e-05,2.87272758707e-05,1.98098784787e-05,5.4501722199e-05,1.35460286401e-05,2.80276054322e-05,1.72354256002e-05,1.86416628064e-05,1.2274635388e-05
1900-07-01,,1.65078047844e-05,1.24241449839e-05,3.27256603327e-05,1.85786178099e-05,1.97983429915e-05,1.46630663645e-05,7.46570627338e-06,6.06165497175e-06,2.40393393293e-05,3.40645856395e-06,9.19028325086e-06,4.20760396602e-06,2.89179432143e-05,1.30428583361e-05,7.10515243857e-06,1.3933680351e-05,2.92489657763e-05,1.57236572015e-05,3.07806779081e-05,4.64919000554e-06,2.44878202284e-05,1.94340392227e-05,1.56105543149e-05,2.15438149603e-05,2.62904960446e-05,1.71926522079e-05,,9.9120546672e-06,9.34362196858e-06,3.86467686555e-06,4.43171265663e-06,1.78832171844e-05,3.50966605917e-05,1.24927798413e-05,3.19022101204e-05,4.83231699339e-05,2.95122499421e-05,8.68412563193e-06,1.14166798284e-06,2.29391802122e-05,7.17078241053e-06,1.80464428752e-05,5.72116550757e-06,9.31262938493e-06,7.956322848e-06,9.10955158133e-06,1.15583676685e-05
1900-08-01,,9.7891285975e-06,1.63349212617e-05,3.8027024857e-05,1.68429248151e-05,2.39062828895e-05,1.38785823613e-05,3.63124750688e-06,2.46437400383e-06,4.14204376284e-05,6.43852247471e-06,9.5573898155e-06,5.77584391327e-06,1.33954049092e-05,9.66388948395e-06,9.61196488802e-07,3.87954257275e-06,1.2354428158e-05,6.78507393702e-06,1.97274074101e-05,7.41793703961e-06,1.11212627337e-05,1.50869647996e-05,6.13806853088e-06,1.22105516848e-05,1.74934999321e-05,4.0179187989e-06,,3.65543506177e-06,1.12696225187e-05,5.35662965366e-06,6.28292251155e-06,1.60886671985e-05,1.34770707992e-05,8.96518655054e-06,3.57381576729e-05,2.88946719896e-05,3.3190838026e-05,1.03416204311e-06,1.69391597995e-06,6.89510950735e-06,4.57318827649e-06,2.57705065678e-05,4.34789399151e-06,1.30285324292e-05,5.76713188951e-06,1.46916587255e-05,8.57735691891e-06
1900-09-01,,1.48635902492e-05,2.47458224077e-05,3.69039046291e-05,2.88349350558e-05,1.63064509277e-05,2.64781571483e-05,1.90217314022e-05,1.35071105542e-05,3.7126494135e-05,1.34254170992e-05,1.34395803798e-05,1.0282572891e-05,3.82436608106e-05,7.00313123941e-06,7.64904825599e-07,5.55868738998e-06,1.38987499213e-05,1.68236522147e-05,2.72114202744e-05,1.30081717089e-05,1.69032077656e-05,1.58761947811e-05,9.58193339152e-06,8.70573153912e-06,9.22233830535e-06,2.27356757976e-05,,1.1625279486e-05,7.7477461673e-06,5.55831443165e-06,1.77353895327e-05,6.55958007201e-06,3.47587744424e-05,6.80514146893e-06,1.07108494376e-05,2.77936196653e-05,4.22502910602e-05,3.86722177979e-06,1.38557870958e-05,5.49452305449e-05,7.47076225154e-06,2.96020694464e-05,6.22598963673e-06,2.15377346833e-05,1.58293068775e-05,1.3580677637e-05,6.59220746896e-06
1900-10-01,,1.24874822112e-05,2.44031139606e-05,4.01459359409e-05,3.91809287976e-05,3.6298665792e-05,5.96402440957e-05,5.33317107641e-05,2.10963389691e-05,4.31501357525e-05,3.38165306121e-05,3.32391275757e-05,5.36768763725e-05,5.74673785888e-05,5.35298350899e-05,1.96510193486e-05,1.11574289829e-05,2.41020633569e-05,6.34652897593e-05,2.42880914432e-05,4.91286077401e-05,1.84730761248e-05,4.51614165892e-05,2.07821290638e-05,2.15182206173e-05,2.94272924863e-05,2.1252470701e-05,,1.90149427031e-05,4.88605692226e-05,1.99050530682e-05,1.08506788365e-05,1.03055865459e-05,4.37672928607e-05,3.43523441302e-05,3.18874588932e-05,2.50262088836e-05,7.62749003852e-05,1.4276822094e-05,3.2937804809e-05,3.24227839125e-05,1.95935376182e-05,3.64700599107e-05,5.55954284209e-06,2.68768323968e-05,4.20520481254e-05,1.16640640651e-05,1.42209483724e-05
1900-11-01,,6.7048131227e-05,4.57648921795e-05,3.10795680605e-05,3.4472575644e-05,7.23299547947e-05,4.08617030189e-05,4.56764878306e-05,3.95873065978e-05,2.27272858562e-05,5.38513775696e-05,2.59278447629e-05,4.385060664e-05,2.73767007868e-05,8.24004440801e-05,4.80328615335e-05,2.24108791046e-05,6.2520350288e-05,4.67284711832e-05,5.19772379448e-05,5.30575477266e-05,1.33884109846e-05,6.98187056211e-05,4.56993926087e-05,5.84660359285e-05,4.44875427138e-05,7.02017790429e-05,,3.95550501854e-05,4.93797124363e-05,5.51198418179e-05,3.7398634361e-05,3.01037549661e-05,3.92734740823e-05,3.74567893095e-05,6.93710468719e-05,6.09271167074e-05,6.41945413236e-05,3.24351091876e-05,3.75900589288e-05,6.43516078374e-05,1.75744781494e-05,4.15027359395e-05,4.08449450333e-05,3.74037364877e-05,3.59097786713e-05,3.48757127843e-05,4.81703394539e-05
1900-12-01,,6.03865502334e-05,2.92961068724e-05,4.0202250716e-05,2.37890046265e-05,5.62103853857e-05,0.000110430304145,6.943424066e-05,2.46636459072e-05,6.88541582349e-05,8.29484174574e-05,2.87070542981e-05,1.76841679994e-05,3.38758956971e-05,7.960744884e-05,5.00337481494e-05,5.16793702307e-05,5.84381991627e-05,9.02520385334e-05,3.14291630919e-05,6.78000037927e-05,2.40222012417e-05,4.62423381881e-05,5.83568523527e-05,4.26621487956e-05,5.43839723281e-05,7.15803435664e-05,,4.54483065047e-05,7.20071911928e-05,4.79969263779e-05,8.64139821975e-05,1.23591065702e-05,7.05269237263e-05,6.28455977176e-05,5.09606505072e-05,6.41032724767e-05,2.93632533396e-05,4.42950623437e-05,7.52945910617e-05,6.78681850559e-05,2.54538640331e-05,7.86264458081e-05,3.63238250429e-05,9.71715741495e-05,5.89563444789e-05,6.19736376393e-05,4.51437532696e-05
1901-01-01,,4.2374873298e-05,7.23388126885e-05,7.47677736399e-05,4.08350815269e-05,4.87891007247e-05,7.61115278389e-05,6.12732272462e-05,4.21325505613e-05,4.07149264599e-05,5.07494859925e-05,3.26530845086e-05,8.82660030454e-05,4.87630036116e-05,2.05600688267e-05,2.71797761083e-05,4.80299222178e-05,5.4845593799e-05,4.22168825136e-05,3.24055541796e-05,7.14307789167e-05,5.12415514368e-05,6.73878546271e-05,5.55770691082e-05,2.92519786045e-05,4.0978154184e-05,5.75778545637e-05,,2.57344506253e-05,3.73209768441e-05,1.02534702364e-05,5.37336302971e-05,3.06354238546e-05,9.49616342657e-06,6.10888867686e-05,3.8535798088e-05,7.52438150812e-05,1.77228091832e-05,3.431092357e-05,5.1271401476e-05,4.15067208905e-05,7.22722965444e-06,6.51036270938e-05,2.74272970273e-05,3.14563607974e-05,4.19187205677e-05,3.85287600996e-05,3.66422771668e-05
1901-02-01,,5.56325912623e-05,5.71390142752e-05,3.22464486544e-05,2.47855828457e-05,5.50433455323e-05,3.22179935514e-05,2.90002831857e-05,3.57821528875e-05,7.3615242339e-05,3.52685981289e-05,6.43810663557e-05,3.89199392105e-05,1.80326634634e-05,7.60519627615e-05,5.52291678624e-05,4.67784637827e-05,4.44154549249e-05,4.8025804825e-05,3.77192628396e-05,2.7974238886e-05,9.88511752439e-06,3.32998050605e-05,2.64152065231e-05,4.44012358558e-05,2.87342269498e-05,2.87447551286e-05,,3.76545868501e-05,3.28784335579e-05,2.60826430576e-05,2.78378194188e-05,4.29986735639e-05,3.00304943532e-05,3.11010065889e-05,3.13259523826e-05,6.81092584273e-05,2.9545000037e-05,4.8183423678e-05,5.63474074971e-05,3.37726805431e-05,2.228502624e-05,3.15555671667e-05,4.60888186353e-05,4.4622781778e-05,4.93705201994e-05,6.20964013554e-05,7.95825994576e-06
1901-03-01,,4.29327912051e-05,3.37698607577e-05,4.28640202585e-05,3.23834203664e-05,4.66449359919e-05,5.1057712335e-05,2.31072589356e-05,3.19173148e-05,5.3628216483e-05,2.6510275369e-05,2.96694277798e-05,3.15080837546e-05,4.33126106795e-05,3.62940847741e-05,2.39004584208e-05,2.28447808254e-05,3.49234108788e-05,3.31372545101e-05,5.50036046813e-05,8.27024448275e-05,2.62969346795e-05,2.41360340321e-05,3.63909574238e-05,3.45169833559e-05,2.97915561753e-05,4.59521395983e-05,,2.11145899187e-05,1.42211556522e-05,3.78442012334e-05,2.69352628103e-05,4.36361158336e-05,3.88367792918e-05,2.92068585532e-05,2.84990499798e-05,6.90818578732e-05,2.50248984181e-05,4.92344521263e-05,2.59753099358e-05,3.43433735187e-05,3.02936454795e-05,3.32830563821e-05,3.6440891563e-05,6.67623803565e-05,2.50319842183e-05,5.97831442671e-05,2.31868538266e-05
1901-04-01,,3.22447526417e-05,2.85989151399e-05,2.28929647506e-05,2.90463918373e-05,1.44515299275e-05,4.30841011015e-05,3.47944442183e-05,3.23438791838e-05,2.18705328734e-05,2.21649319255e-05,2.28779001797e-05,3.21748653992e-05,6.10875941848e-05,3.4445503843e-05,2.51028423788e-05,3.38734424793e-05,3.51428478877e-05,2.13845478586e-05,3.17156304656e-05,4.34775877996e-05,2.03048842559e-05,2.97927240657e-05,4.31557643121e-05,3.86799510529e-05,4.66112033617e-05,4.03766458487e-05,,4.71438951343e-05,1.97546123673e-05,2.78608108601e-05,3.35867761351e-05,3.17080013019e-05,4.06938997154e-05,1.55684692982e-05,1.33502571202e-05,5.38773500011e-05,4.0403417556e-05,2.08414342978e-05,3.40745214739e-05,2.6476647245e-05,3.32266423097e-05,3.62601130253e-05,1.63641780091e-05,3.45035716258e-05,4.73274479321e-05,4.96954818421e-05,1.90878789991e-05
1901-05-01,,3.67278181503e-05,2.01448944359e-05,2.31802201114e-05,3.83028989017e-05,2.48980396438e-05,2.4737347303e-05,2.80090275088e-05,3.16238862676e-05,3.09263157154e-05,3.72172575052e-05,3.00453853318e-05,1.6651027337e-05,4.16984634545e-05,1.05564623872e-05,2.95973808274e-05,1.21900865442e-05,4.29576856862e-05,3.20221363588e-05,4.54210896805e-05,1.40490535462e-05,4.8006789475e-05,2.76097368745e-05,2.78104225799e-05,9.26588726694e-06,3.5008613574e-05,2.48975666615e-05,,2.30765968496e-05,3.05912290059e-05,5.09689784565e-06,1.59421058015e-05,2.8926930753e-05,4.63618915395e-05,2.6196406543e-05,3.39719676579e-05,3.08391997047e-05,4.09467222545e-05,2.76286457392e-05,3.1848770656e-05,2.58963992887e-05,2.2595196307e-05,1.64994667671e-05,2.17878441617e-05,2.45701317269e-05,2.88912951614e-05,1.13760449797e-05,1.77858546097e-05
1901-06-01,,3.13663981073e-05,2.5385728642e-05,3.04292985334e-05,2.95520287727e-05,1.46497225002e-05,2.36872182086e-05,1.8021237338e-05,3.11265327279e-05,4.56938747751e-05,1.33344145373e-05,1.11964497516e-05,1.75967172254e-05,5.13165298668e-05,2.05442213753e-05,2.17002017495e-05,6.12143902181e-06,4.31091481525e-05,1.48360289067e-05,3.02832644934e-05,3.01958450109e-05,2.81530719803e-05,3.53867032876e-05,3.45425612143e-05,4.36170230387e-05,2.6177645207e-05,3.26284455782e-05,,2.74017939369e-05,1.75146160473e-05,4.74984436494e-06,1.50326564705e-05,2.16998634954e-05,4.80599342912e-05,3.68813604564e-05,3.73737666829e-05,4.27363439182e-05,5.36293530439e-05,1.10976049655e-05,4.66953606952e-05,4.57774562695e-05,1.65801883684e-05,2.23001750707e-05,7.10964741302e-06,1.53110950394e-05,2.96990112734e-05,1.12821066826e-05,1.94746339793e-05
1901-07-01,,1.65995736471e-05,1.60026704851e-05,2.57676392152e-05,1.29603550886e-05,2.378427679e-05,6.59671176777e-06,1.90397458417e-05,1.41687401272e-05,3.59274794088e-05,5.53511710117e-06,3.20811234301e-06,1.50831249942e-05,1.94188941569e-05,1.12611783801e-05,4.727112531e-06,9.10469457686e-06,2.76330808057e-05,3.76681619657e-06,1.86672357737e-05,8.9625193425e-06,1.71082983775e-05,1.31831738448e-05,6.31141995205e-06,1.0960379604e-05,1.15766903183e-05,9.93185154352e-06,,1.88942588034e-05,6.46363469059e-06,2.16064708951e-06,1.24214873657e-05,2.79406479962e-05,2.35825032557e-05,2.40443670373e-05,4.91415737448e-05,3.45880466739e-05,4.05307807255e-05,1.23979141449e-05,8.80397992883e-06,3.52610123381e-05,1.84057925899e-06,3.49170853345e-05,6.84420228936e-06,1.29407467227e-06,1.28045744662e-05,5.00265086695e-06,8.13994172247e-06
1901-08-01,,4.03437724252e-06,5.19644235671e-06,2.81076680722e-05,6.98491510889e-06,2.57557670522e-06,1.67043448831e-05,3.04852063502e-05,3.63836233874e-06,3.67545562464e-05,1.50082880177e-06,6.11365851645e-06,1.56918407551e-05,2.19370097273e-05,8.08225844854e-06,3.9751692919e-07,6.42805301522e-06,1.78374141537e-05,5.1781972511e-06,2.41932893535e-05,8.99901754868e-06,9.49701276397e-06,1.63243070347e-05,2.15207733718e-06,6.73939996984e-06,2.04591802557e-05,4.32017590379e-06,,7.10025566101e-06,1.1117912436e-05,3.9744285767e-07,5.43361681451e-06,9.18952156326e-06,1.11310134206e-05,2.31615588018e-05,3.24859210915e-05,3.19697406667e-05,2.77711972969e-05,1.12072748379e-05,1.17300035288e-05,4.21900800423e-05,6.40848958932e-06,3.6064613776e-05,1.82785151992e-06,2.46008365611e-06,2.71094114786e-06,5.13668148111e-06,8.61961787581e-06
