time,FGOALS-g2,FIO-ESM,MIROC-ESM,MIROC5,CanESM2,MPI-ESM-MR,CSIRO-Mk3-6-0,HadGEM2-AO,BNU-ESM,CCSM4,GFDL-ESM2G,MRI-CGCM3,GFDL-ESM2M,NorESM1-M,IPSL-CM5A-MR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,NorESM1-ME,HadGEM2-ES,GISS-E2-R,bcc-csm1-1-m,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5
1686-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686-08-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686-09-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686-10-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686-11-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686-12-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687-01-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687-02-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687-08-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687-09-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687-10-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687-11-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687-12-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688-01-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688-02-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
