time,bcc-csm1-1-m,ACCESS1-0,ACCESS1-3,FGOALS-g2,FIO-ESM,CMCC-CMS,MPI-ESM-LR,IPSL-CM5B-LR,MIROC-ESM,MIROC5,CMCC-CM,MPI-ESM-MR,CSIRO-Mk3-6-0,CESM1-BGC,inmcm4,CanESM2,GISS-E2-R-CC,BNU-ESM,CCSM4,GFDL-ESM2G,EC-EARTH,GFDL-ESM2M,NorESM1-M,CESM1-WACCM,IPSL-CM5A-MR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,MRI-ESM1,NorESM1-ME,HadGEM2-AO,GISS-E2-R,HadGEM2-CC,GISS-E2-H-CC,CMCC-CESM,MRI-CGCM3,HadGEM2-ES,bcc-csm1-1,CESM1-CAM5
2007-08-01,2.98072959585e-06,1.59786419423e-06,8.67878078939e-06,1.93308701455e-05,9.81458287394e-06,1.22427075569e-05,6.2033413477e-06,2.98801977578e-05,4.11401324224e-05,1.63901260294e-05,4.98962213492e-06,1.4534116573e-05,1.75021942285e-07,3.66057828078e-06,1.2156607402e-05,5.46465548155e-06,2.27215722362e-05,9.94943585034e-06,6.64137869526e-06,9.05143331743e-06,4.4872604702e-06,2.15911453425e-05,3.60523586096e-06,3.09350189742e-07,1.54461131022e-05,3.16187837246e-06,1.39343409842e-05,1.01535328497e-05,2.12098127577e-05,1.89059468236e-05,4.09806091609e-05,5.55170961825e-06,2.07393882081e-06,4.22720709897e-05,7.81653804167e-06,2.64637133682e-05,1.18205934996e-06,2.24738068829e-05,1.06192927137e-06,9.73243459157e-06,5.53652400776e-06
2007-09-01,1.35024134725e-05,4.82168750133e-06,1.06493491917e-05,1.30261659857e-05,2.7628666885e-05,1.47996952624e-05,1.13141348785e-05,3.05737389112e-05,2.82713065341e-05,2.32021757165e-05,1.53532562744e-05,1.87995165886e-05,6.38783669668e-06,2.17360818279e-05,3.12653991516e-05,1.89359047757e-05,3.8251844785e-05,4.32957245285e-06,1.83995624397e-05,1.01817883894e-05,1.97920062683e-05,1.01105052863e-05,7.52282721805e-06,1.61584723304e-06,2.09159861957e-05,1.1671339081e-05,6.72140151892e-06,1.20613894774e-05,2.10111422045e-05,3.43848429111e-05,3.20004978134e-05,1.1213874609e-05,2.42614326756e-05,3.73521371178e-05,1.48774335327e-05,2.85757352382e-05,1.13471105578e-06,1.39417118865e-05,1.49517953191e-05,2.64896795064e-05,1.16784107643e-05
2007-10-01,4.28153281562e-05,1.86308675655e-05,4.87271722813e-05,4.00768510493e-05,4.18340672089e-05,5.35041351603e-05,3.21510854909e-05,4.08239982335e-05,3.44237005872e-05,1.80494770575e-05,3.43960561411e-05,4.95791264776e-05,1.6528939383e-05,3.50128917269e-05,3.7575323118e-05,3.49610079866e-05,5.30145255766e-05,5.49054794343e-05,4.19397060428e-05,1.24839714317e-05,5.790053538e-05,1.48310818733e-05,4.94096893817e-05,1.48781689859e-05,6.09329003055e-05,1.2089681718e-05,3.77365340682e-05,1.8503159381e-05,5.00661055488e-05,4.10379007614e-05,6.49936680366e-05,2.10407926033e-05,4.84273453886e-05,5.81365432216e-05,2.13093960123e-05,8.9589886746e-05,1.06338593469e-05,4.43520727155e-05,1.99130447419e-05,3.22442481168e-05,1.59575256108e-05
2007-11-01,6.06019322861e-05,6.46397867448e-05,8.47015931391e-05,6.4666860635e-05,6.81195180126e-05,6.52395662785e-05,8.56966786419e-05,4.00833046115e-05,6.09777508847e-05,3.39328355949e-05,2.40187627508e-05,6.30921796463e-05,3.91758407204e-05,4.94200306856e-05,3.33454206936e-05,4.44647035389e-05,3.50807595169e-05,8.8852426173e-05,3.7968460913e-05,2.38165886104e-05,5.65755593535e-05,5.76226998924e-05,3.01332092931e-05,2.23431437462e-05,3.98457480385e-05,3.48837240836e-05,5.24636296859e-05,1.91134366355e-05,7.10240212811e-05,3.38850789073e-05,8.58048574411e-05,3.56421264769e-05,4.983718472e-05,7.08302296744e-05,3.74288128807e-05,5.15194345401e-05,2.64341542788e-05,4.23165289476e-05,3.02818989331e-05,4.70345257781e-05,1.65573503866e-05
2007-12-01,5.27501800618e-05,4.93025261329e-05,0.000103755445296,7.79182739886e-05,7.20280684618e-05,4.36187962935e-05,5.50901912253e-05,2.98964940839e-05,0.000107090715513,2.19482642387e-05,5.39344541124e-05,8.43073919116e-05,3.38940972922e-05,3.46065716065e-05,7.35987794282e-05,3.59011824003e-05,6.56699421218e-05,6.63557152924e-05,6.45012156989e-05,4.4184587043e-05,5.70207635281e-05,3.29980163972e-05,3.02588741761e-05,4.22939971941e-05,1.01626388446e-05,5.26894802988e-05,2.41566994722e-05,4.81666529868e-05,3.79131212564e-05,5.30717169264e-05,9.12691558109e-05,3.20031214414e-05,6.06114466726e-05,6.64650393674e-05,2.48859061707e-05,9.33015998044e-05,7.39563074603e-05,6.75728031941e-05,3.61599487795e-05,2.95668931358e-05,3.1765966308e-05
2008-01-01,2.37955754138e-05,3.42344525009e-05,4.63264628338e-05,4.93998351885e-05,5.08877888933e-05,2.93450879066e-05,7.19369430694e-05,2.05570534391e-05,8.03555440143e-05,4.01656588292e-05,1.67216813413e-05,8.53835372254e-05,6.10987359063e-05,1.62551281658e-05,8.3678104316e-05,4.99008717573e-05,3.21844405751e-05,8.07873975039e-05,8.88122368001e-05,2.71753199538e-05,5.9719418102e-05,3.75327485421e-05,5.19535788044e-05,5.85213349041e-05,3.74221987711e-05,3.64920224456e-05,5.37355724646e-05,1.83615055717e-05,4.46545389347e-05,4.10336573016e-05,2.60315893083e-05,5.60633619443e-05,4.7064789171e-05,7.666999511e-05,4.78096168471e-05,4.46344204571e-05,5.00651040056e-05,4.70271254038e-05,3.16057572447e-05,2.55875151197e-05,6.12983784377e-05
2008-02-01,3.86704621286e-05,5.08244963406e-05,3.87898695364e-05,5.7665623414e-05,6.15464996372e-05,6.21559929901e-05,4.85202260149e-05,2.69091260634e-05,5.92832754288e-05,4.10832050329e-05,5.44729712537e-05,7.99574207381e-05,5.41192722397e-05,3.7174541725e-05,7.55921021274e-05,5.36421840782e-05,2.52156426844e-05,2.306682721e-05,4.81507653089e-05,2.25509295685e-05,4.67845915777e-05,8.63229982618e-05,2.12140475924e-05,3.54638365479e-05,6.17174672568e-05,4.88660433575e-05,4.21605568211e-05,6.07503684751e-05,5.63392714146e-05,6.57540375566e-05,4.8135509349e-05,4.02295558615e-05,2.76580105947e-05,5.20747100457e-05,5.37511316344e-05,3.84218810344e-05,6.61912526994e-05,3.51344979046e-05,5.27805078881e-05,4.78385924604e-05,2.78557451308e-05
2008-03-01,3.26724249958e-05,3.72686304651e-05,4.52554582981e-05,2.67547637729e-05,3.70387908333e-05,3.08200176473e-05,3.03797107855e-05,5.02772562641e-05,5.28378911743e-05,2.60905115647e-05,2.86339056053e-05,5.67491744213e-05,2.16966102276e-05,1.51675599043e-05,7.17975176355e-05,4.29881239143e-05,2.85975782883e-05,7.30536744716e-05,2.28422780981e-05,4.7357281902e-05,3.36202329847e-05,6.40545631035e-05,1.65169003594e-05,2.52352522466e-05,4.17056919884e-05,4.79610349657e-05,6.59697244979e-06,4.13444302467e-05,2.23929163781e-05,7.13107153085e-05,3.58560988995e-05,2.34930390661e-05,3.31616063574e-05,4.35911042587e-05,3.26011289698e-05,2.8673477118e-05,2.37828244281e-05,2.79040604731e-05,3.04087164165e-05,2.6408906524e-05,2.60061179973e-05
2008-04-01,3.02785025659e-05,1.1045686173e-05,3.14447552444e-05,4.57385605841e-05,3.82198903632e-05,2.29968198775e-05,2.87321716314e-05,2.28351039908e-05,5.03620896779e-05,2.63885357526e-05,3.59033721833e-05,3.94965035542e-05,2.85727885577e-05,3.20938052579e-05,3.78709579049e-05,3.83397451515e-05,4.06935956031e-05,6.74619659549e-05,5.21942740141e-05,1.45695809503e-05,3.3180246971e-05,2.63386103446e-05,2.48457126872e-05,1.81083245934e-05,2.92018468047e-05,3.82279849873e-05,3.72769712461e-05,3.12260141982e-05,3.27066998883e-05,3.33926790214e-05,3.92109521467e-05,1.12505158768e-05,3.04218106283e-05,3.20174013192e-05,3.75436845302e-05,2.63005033692e-05,2.60259039351e-05,5.34608761449e-05,2.96089143766e-05,3.10151878997e-05,4.00614400695e-05
2008-05-01,1.99870812648e-05,3.07335481336e-05,4.26768235359e-05,3.44727667956e-05,2.96080004773e-05,1.87006321669e-05,3.00727335603e-05,2.2970060229e-05,3.99518057748e-05,3.5174047589e-05,2.95198814722e-05,3.09377039749e-05,2.47051325459e-05,2.69641413244e-05,3.83841198657e-05,1.38963166743e-05,3.86284007921e-05,2.02323788471e-05,1.56482901845e-05,3.24227506402e-05,2.6948859624e-05,2.71000916554e-05,2.12545128306e-05,2.83031468371e-05,2.36386753386e-05,2.9753222293e-05,2.30681127581e-05,4.27502950333e-05,4.0910890012e-05,2.69741808249e-05,4.16583774105e-05,2.19122042836e-05,3.34665985411e-05,3.11077653047e-05,2.28403590817e-05,2.89289458427e-05,1.35241789394e-05,4.11981099682e-05,3.16421940061e-05,2.65960979353e-05,2.57784371515e-05
