time,IPSL-CM5A-LR,GFDL-CM3,MIROC-ESM,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,NorESM1-ME,HadGEM2-AO,GISS-E2-R,FIO-ESM,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,HadGEM2-ES,NorESM1-M,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
2029-09-01,2.82741058655e-06,1.3255008857e-05,1.66392932442e-05,1.61934567222e-05,3.18342090964e-05,2.52459405601e-05,1.12558732515e-05,1.27796247708e-05,9.45469432168e-06,1.18947591166e-05,3.08546405184e-05,6.86165387075e-06,1.40464707641e-05,1.56779107494e-05,7.97911826251e-06,2.35127578681e-06,7.98857217617e-06,1.25877631945e-05,7.09179222115e-06,1.36318518647e-05,2.00598996928e-05
2029-10-01,4.34105784564e-06,2.11023098776e-05,9.80545058458e-06,1.53696997313e-05,5.65363318401e-05,3.43841031281e-05,1.46073016872e-05,6.00024682125e-05,1.12722771291e-05,4.20484089296e-05,4.84690631311e-05,2.54597942937e-05,2.28511039587e-05,5.54957557001e-05,2.41444582672e-05,6.13367868114e-05,3.02611659728e-05,2.83458357444e-05,2.93990441345e-05,1.77634510389e-05,2.18554242825e-05
2029-11-01,2.11216283219e-05,5.68465078838e-05,0.00010824330966,3.52968843163e-05,3.04711977985e-05,7.78236850844e-05,5.64813021305e-05,7.05363613955e-05,7.39410724236e-05,5.58859464296e-05,4.73879665985e-05,9.46917881568e-05,4.1311398316e-05,5.77706845152e-05,5.65269086413e-05,2.15660621842e-05,3.56505030314e-05,3.93175396312e-05,2.42462761045e-05,6.78178729383e-05,6.39125813905e-05
2029-12-01,9.10936594778e-06,2.39390345011e-05,8.17066583598e-05,6.40045512773e-05,5.12027228297e-05,7.34775312594e-05,7.80145492172e-05,6.73532009166e-05,6.01066433774e-05,3.02176183487e-05,6.3675379882e-05,4.74806157096e-05,1.55217144518e-05,4.36926880714e-05,4.64057787516e-05,1.90110156273e-05,5.65827237465e-05,4.99060952279e-05,3.56807103214e-05,3.69042327899e-05,3.32171538633e-05
2030-01-01,7.23697046396e-05,5.29822765429e-05,5.95504547164e-05,2.29678454525e-05,3.88024859035e-05,4.84044753345e-05,3.2355212372e-05,8.16123347617e-05,2.53646906913e-05,4.52287017218e-05,6.24865229687e-05,4.89086198892e-05,2.7887688955e-05,6.37092170261e-05,3.03579744872e-05,6.44804027789e-05,4.29815678498e-05,4.32829765487e-05,4.47134707429e-05,4.35232382491e-05,5.83179344955e-05
2030-02-01,2.39194164919e-05,6.34046800769e-05,5.27388057283e-05,3.12230567397e-05,5.64136861006e-05,7.71234938535e-05,3.98722502016e-05,1.84435507895e-05,3.50061001882e-05,2.39617159076e-05,2.79278066273e-05,5.04527779412e-05,2.00568237729e-05,4.98861446821e-05,4.04152284419e-05,4.38386728742e-05,1.48641487115e-05,3.14650096698e-05,5.66715099142e-05,2.73702443034e-05,4.96461299138e-05
2030-03-01,1.47374072128e-05,4.9284316295e-05,3.48378012859e-05,1.72556461621e-05,4.60443171733e-05,6.45775426771e-05,2.68083184286e-05,1.4330053371e-05,5.02196515299e-05,2.68572774595e-05,2.33828149968e-05,4.04307484132e-05,4.31549299839e-05,5.1366593609e-05,3.10892135328e-05,1.0109115887e-05,4.92968498466e-05,1.98934121727e-05,3.84908880993e-05,4.75615684991e-05,1.96285230621e-05
2030-04-01,2.65928738372e-05,2.72116460186e-05,4.88465277158e-05,4.04278519272e-05,2.55810565098e-05,5.54188712461e-05,2.24380110012e-05,1.99725286299e-05,2.74046630693e-05,4.97996546377e-05,4.65336578751e-05,2.92925555793e-05,2.81443017689e-05,5.95116453042e-05,3.69418238632e-05,2.54060653441e-05,3.25727669839e-05,3.44258514815e-05,5.18768841825e-05,5.03404036863e-05,1.41693496646e-05
2030-05-01,1.4662730166e-05,3.42357196056e-05,5.36048536257e-05,2.10104811049e-05,3.12546555203e-05,4.2007759051e-05,2.81645080172e-05,2.74539780649e-05,1.06619255803e-05,2.55250278791e-05,3.13316450994e-05,1.84964020567e-05,2.00477654307e-05,3.78747271757e-05,1.38539403451e-05,3.78445416313e-05,3.60451753988e-05,2.05852902582e-05,2.07799236055e-05,3.04627628793e-05,1.86292842078e-05
2030-06-01,1.74410758386e-05,3.54754283383e-05,5.32699036133e-05,3.23912468775e-05,2.35376862937e-05,4.96921445119e-05,1.76662727477e-05,1.92556532605e-05,2.61577618176e-05,2.13234619921e-05,3.91478240734e-05,2.89850825235e-05,2.3122127707e-05,4.66112357701e-05,2.45028251508e-05,2.94863796658e-05,2.17570696599e-05,1.11890149128e-05,9.68615843127e-06,1.02277004468e-05,2.47190557145e-05
