time,FGOALS-g2,FIO-ESM,MIROC-ESM,MIROC5,CanESM2,MPI-ESM-MR,CSIRO-Mk3-6-0,HadGEM2-AO,BNU-ESM,CCSM4,GFDL-ESM2G,MRI-CGCM3,GFDL-ESM2M,NorESM1-M,IPSL-CM5A-MR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,NorESM1-ME,HadGEM2-ES,GISS-E2-R,bcc-csm1-1-m,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5
2093-01-01,5.16024082269e-05,9.05621539763e-05,5.94904751779e-05,3.09706644839e-05,2.77690368118e-05,4.20361728175e-05,5.18666115698e-05,4.45342773977e-05,7.22830991435e-05,7.76777574679e-05,4.87994351109e-05,4.57486706485e-05,6.27319445812e-05,2.88997252937e-05,2.45402427416e-05,2.56704707908e-05,4.03673684938e-05,6.69928462594e-05,5.55331553945e-05,7.27657591293e-05,3.65501650322e-05,3.16258541326e-05,7.23613430106e-05,4.37607219781e-05,1.19142645937e-05,5.36863321031e-05,5.50805483488e-05
2093-02-01,4.03315266036e-05,1.81096977637e-05,6.45679236186e-05,2.83884857708e-05,3.45334832067e-05,6.51221007242e-05,4.70277999869e-05,2.87150230958e-05,7.50533586446e-05,4.99551218614e-05,4.90801518633e-05,7.20898204214e-05,4.38743807839e-05,1.3510764802e-05,3.02329847597e-05,4.84168311914e-05,2.90888979938e-05,4.61775286726e-05,3.10773280603e-05,4.4115338945e-05,4.85119622681e-05,4.98053820073e-05,5.77125149448e-05,4.50169364697e-05,3.45795340503e-05,6.6549634721e-05,6.11725075887e-05
2093-03-01,3.64229786404e-05,1.98654630367e-05,5.40759033053e-05,3.22335829242e-05,3.08223923639e-05,2.6549758955e-05,6.03577848129e-05,2.68208828272e-05,5.29193236919e-05,4.73062913939e-05,5.07421567717e-05,4.82572378197e-05,3.07423684313e-05,5.82185348321e-05,3.36454288637e-05,4.38446198814e-05,3.44138787417e-05,3.69239417159e-05,3.29063630412e-05,3.94342473252e-05,3.06527673274e-05,1.63407970658e-05,3.41219592504e-05,2.42504114838e-05,3.70074163324e-05,5.05365139058e-05,4.06829259751e-05
2093-04-01,3.61759950465e-05,4.56920196787e-05,3.14660740817e-05,2.82515706022e-05,1.87460413751e-05,2.35035475011e-05,2.57179054253e-05,2.35139129819e-05,4.23565436601e-05,3.99360491649e-05,2.57222385345e-05,2.54243822967e-05,3.70518895983e-05,3.16941659548e-05,3.21523620577e-05,2.72832305654e-05,3.20567154025e-05,3.47449463698e-05,2.56633624076e-05,2.3197441745e-05,3.25949937178e-05,2.57066199083e-05,4.32146430664e-05,5.79634069081e-05,2.04892151357e-05,2.93325866248e-05,2.93753988316e-05
2093-05-01,3.06612031636e-05,3.13190033921e-05,3.60630850385e-05,1.76797611766e-05,1.91012652673e-05,3.21389442044e-05,2.84145294245e-05,1.41098722517e-05,2.68527920222e-05,2.07054966341e-05,2.23014008043e-05,2.33069722039e-05,2.59971696626e-05,1.50779060277e-05,1.50393787797e-05,2.66259123691e-05,4.68119997095e-05,4.84854001479e-05,4.02413084354e-05,4.89156548914e-05,2.000314621e-05,1.79354923646e-05,4.3920266459e-05,1.29116645472e-05,1.30199465535e-05,1.09613650238e-05,2.27723818317e-05
2093-06-01,1.80950733617e-05,3.52096680823e-05,5.0142962967e-05,3.3582017013e-05,8.23632874093e-06,3.0972010323e-05,2.93204252947e-05,2.00341790446e-05,2.17648262757e-05,2.33378118629e-05,2.31784161871e-05,3.23626944096e-05,2.56482524795e-05,1.61955522344e-05,1.29389083018e-05,2.4148548448e-05,4.17554820918e-05,3.01680141274e-05,2.15370809163e-05,4.66738895436e-05,1.20449621477e-05,1.66457607628e-05,3.65346910674e-05,1.20872316231e-05,9.70790778021e-06,6.60046459871e-06,1.13918562388e-05
2093-07-01,1.50332113359e-05,3.042031182e-05,2.66295981874e-05,1.60969714761e-05,1.49455555149e-05,1.81618753621e-05,1.34469427678e-05,9.59717748997e-06,9.53582456305e-06,1.20859808542e-05,9.98720793493e-06,2.69431096902e-05,2.17488892405e-05,9.68252606981e-06,1.66547920376e-05,1.42046720661e-05,3.02385818713e-05,2.89519781199e-05,4.25001527825e-05,3.87286218029e-05,6.14427458224e-06,8.56306799437e-06,3.44173280382e-05,1.85418387478e-05,9.75220381016e-06,2.11502551186e-05,1.06685781553e-05
2093-08-01,8.9854909523e-06,1.53590853794e-05,1.86952370645e-05,1.53374476372e-05,7.4010432968e-06,1.63099587163e-05,2.02175674348e-06,4.12848433484e-06,4.20949837796e-06,5.10216986699e-06,1.29238991507e-05,3.85388020299e-05,9.18908414573e-06,6.67185759085e-06,2.24361937009e-05,1.10269953311e-05,2.0049317565e-05,1.9571023513e-05,3.51704821071e-05,3.04091186384e-05,4.73187662209e-06,1.4404869552e-06,3.39738736178e-05,7.64795854972e-06,5.93381784191e-06,4.80773428346e-06,1.25055902953e-05
2093-09-01,8.64832907913e-06,3.01626208966e-05,2.08162245599e-05,1.81869611697e-05,1.45631911134e-05,1.34574436483e-05,2.05464210988e-06,2.94120509785e-05,1.06625164638e-05,6.16997371565e-06,1.69076075357e-05,1.9860256833e-05,1.37469274048e-05,4.98266172144e-06,1.87449209989e-05,1.06714363746e-05,1.10529362682e-05,2.24723666406e-05,4.0204343577e-05,2.59265025306e-05,4.09386298088e-06,2.74452658255e-06,4.14145160903e-05,4.18561078818e-05,3.35109503275e-05,1.70009739729e-05,8.23020018391e-06
2093-10-01,5.00875120148e-05,2.01181559532e-05,3.62344811341e-05,2.3102459354e-05,4.95946393736e-05,3.58010039365e-05,1.24202910801e-05,3.41878085021e-05,5.03234078982e-05,2.60965301674e-05,4.7390363357e-05,5.60306729031e-05,3.44630915e-05,4.31191256212e-05,3.00804757509e-05,2.03822999896e-05,5.57427382546e-05,1.90088544468e-05,6.09676592376e-05,2.82650764954e-05,3.62979073088e-05,3.06459355345e-05,3.8374867889e-05,2.64174117861e-05,3.2656626094e-05,3.85142802164e-05,4.79524980362e-05
2093-11-01,3.98927809632e-05,0.000141548259611,4.6083781793e-05,5.81331298963e-05,3.5124963506e-05,9.60389127223e-05,4.0860714606e-05,3.6581624586e-05,6.50020534522e-05,9.49914108493e-05,4.79937559956e-05,6.60411366793e-05,6.26185439816e-05,6.77808347973e-05,4.30060988037e-05,7.44875767396e-05,4.91200367681e-05,4.77711579788e-05,5.50369024571e-05,3.91807587827e-05,5.03214394485e-05,2.36351640546e-05,4.05305182767e-05,4.37597483965e-05,7.14189668153e-05,4.12827022956e-05,4.08450183096e-05
2093-12-01,5.4667202312e-05,0.000100935540104,6.40255100734e-05,4.21674626887e-05,4.92315216131e-05,4.73647419962e-05,1.36129086319e-05,4.17408051535e-05,7.89824751943e-05,5.41736233829e-05,4.88769325986e-05,6.03923565883e-05,6.31513847919e-05,7.7749195043e-05,5.28474887168e-05,5.28811536356e-05,8.44500192822e-05,7.51197097543e-05,5.55951194959e-05,0.000103274487143,5.8610459655e-05,8.72168407113e-05,4.02967635864e-05,4.31994243021e-05,7.56090132719e-05,4.52097169424e-05,5.78893449382e-05
2094-01-01,6.66305212993e-05,6.02999400144e-05,0.000102588926893,2.04951973137e-05,5.73068082607e-05,8.03884854707e-05,3.82658285162e-05,7.03334929616e-05,5.50158925762e-05,3.77331064859e-05,6.0014926324e-05,5.98917404854e-05,1.89247058289e-05,1.35930295073e-05,5.97635290043e-05,4.76658128719e-05,4.95585801067e-05,3.51200958721e-05,2.69721634822e-05,5.69109461746e-05,8.44297393996e-05,4.7376204163e-05,4.89664107211e-05,7.57644747431e-05,3.84336570278e-05,3.62184726934e-05,3.09245132154e-05
2094-02-01,2.77294383826e-05,4.13303042781e-05,3.99229493269e-05,1.95903907479e-05,2.2476818458e-05,2.69323628995e-05,3.05428466163e-05,2.45979269082e-05,6.31702389607e-05,5.42658302755e-05,4.28419211858e-05,4.64972237123e-05,5.16601855149e-05,2.79155265162e-05,4.08769850245e-05,2.77142603977e-05,4.40833230186e-05,5.55064100809e-05,4.84004464738e-05,6.15092173878e-05,1.83154461865e-05,1.81858645192e-05,3.77933497096e-05,4.50730634449e-05,5.40949986316e-05,5.14253621077e-05,2.66755666527e-05
2094-03-01,3.11691584405e-05,4.88330731362e-05,5.02686132677e-05,3.51889024387e-05,2.69619282335e-05,3.39669711788e-05,3.0886600715e-05,1.47070081658e-05,6.83087824048e-05,3.75542526165e-05,2.66771488795e-05,4.06137628813e-05,2.68116873485e-05,5.91272946622e-05,2.83747142281e-05,4.10198748568e-05,5.53772892241e-05,2.73898222076e-05,2.59841453953e-05,3.61903294106e-05,3.31527090111e-05,2.32163121966e-05,3.97025639055e-05,4.13568848433e-05,1.67907527482e-05,3.80505715536e-05,2.79563685425e-05
2094-04-01,3.44407913872e-05,4.34768135165e-05,2.65164407513e-05,4.07298410937e-05,1.65977332169e-05,2.57504513554e-05,2.93790056795e-05,3.51550563989e-05,5.22789589013e-05,4.67417312669e-05,4.13018354821e-05,5.84699117185e-05,2.71287810594e-05,2.86596186925e-05,3.82446299877e-05,1.94355939271e-05,4.52914416655e-05,2.86966327985e-05,2.90715013496e-05,2.73897215569e-05,3.22540566231e-05,4.31009556494e-05,3.84121391335e-05,4.09051721081e-05,2.89731176703e-05,5.18100242819e-05,2.59559385609e-05
2094-05-01,3.69603259363e-05,2.62691590857e-05,5.37362576627e-05,3.14160800554e-05,3.07835269875e-05,3.9077936838e-05,2.53294447508e-05,3.46915917795e-05,3.99684413424e-05,4.12171457999e-05,1.66458283072e-05,3.45392196821e-05,1.94043184112e-05,2.66492897936e-05,2.08289264784e-05,3.54857123739e-05,4.75825367327e-05,3.72083449474e-05,4.30277799524e-05,1.51213115714e-05,1.53400730596e-05,3.06632569802e-05,4.0241922458e-05,2.62277837486e-05,2.58230491974e-05,2.71784912911e-05,3.31900696024e-05
2094-06-01,2.12739517641e-05,2.15727072524e-05,4.02677159097e-05,1.1365127375e-05,4.56776701861e-06,1.49088595728e-05,1.46056445439e-05,2.95755545684e-05,4.10540772767e-05,3.71145670674e-05,9.88673082721e-06,4.83450457111e-05,2.20082874876e-05,2.31469348364e-05,6.97122711862e-06,3.54827811009e-05,2.69593768583e-05,3.75484706456e-05,4.60009031068e-05,3.82682368581e-05,7.07221363427e-06,7.78270988024e-06,3.04031890437e-05,1.28283954566e-05,3.22118571993e-05,1.08608629716e-05,3.23970521875e-05
